name, action, object, source, note
# fictional. legendary. or semi-mythical characters
gilgamesh,,, -2900, -2940, 1,, central, art, the epic of gilgamesh
zoroaster,,, -1000, -960, 1, avestan, central, mental, founding prophet of zoroastianism. zarathustra
maui,,, pacific islanders myth
ostanes
beowulf
ragnar lodbrok,,, Saga of Ragnar Lodbrok. Tale of Ragnar's sons. Heimskringla. Hervarar Saga. Sögubrot. Ragnarsdrápa, potentially fictional swedish
sigurd
anansi
sun wukong,,, journey to the west
laura croft,,, tomb raider
sweeny todd,,,
johnny appleseed,,,
john henry,,,
ned ludd,,,
tanuki
doomslayer
Gaetan Molière,,, atlantis
bugs bunny
spongebob
steven universe,,,
BMO,,, adventure time
hououin kyouma,,, steins gate
geralt of rivia